Plot,Scientific_name,Scientific_name_plot,Ht2019,LA,SLA,BA,RC_BA
MIND_01,Heliocarpus_americanus,Heliocarpus_americanus_MIND_01,15.69632847,151.5069286,238.3769524,0.169317708,0.41148233
MIND_01,Hieronyma_asperifolia,Hieronyma_asperifolia_MIND_01,12.45013293,182.4673654,88.8299137,0.378089105,0.614889506
CEDR_01,Hieronyma_macrocarpa,Hieronyma_macrocarpa_CEDR_01,13.72818567,87.3995641,93.61120512,0.821589311,0.906415639
MIND_01,Huertea_glandulosa,Huertea_glandulosa_MIND_01,17.37874387,73.03280186,115.3490303,0.44680359,0.668433684
VERD_03,Ilex_andicola,Ilex_andicola_VERD_03,9.426420047,4.246923077,127.9924872,0.205366698,0.453174026
MALO_01,Indeterminado_4inECPI,Indeterminado_4inECPI_MALO_01,9.815962256,224.7309167,141.9031667,0.037326833,0.193201535
MAPI_01,Inga_1inECPI,Inga_1inECPI_MAPI_01,14.59551276,68.4625641,171.379848,0.132792765,0.364407416
MAPI_01,Inga_2inECPI,Inga_2inECPI_MAPI_01,22.28177543,170.0028159,161.2790878,0.499797546,0.70696361
MIND_01,Inga_4inECPI,Inga_4inECPI_MIND_01,12.01383114,70.20546154,130.5811538,0.094984483,0.308195527
INTI_01,Inga_alatocarpa,Inga_alatocarpa_INTI_01,17.79385483,95.83332051,109.3693387,0.775690641,0.880733013
INTI_02,Inga_fendleriana,Inga_fendleriana_INTI_02,16.28648832,176.5958205,337.0634992,0.30817296,0.555133281
MAPI_01,Inga_multicaulis,Inga_multicaulis_MAPI_01,20.65099257,151.0617128,161.0876205,0.076796232,0.277121331
MIND_01,Inga_multicaulis,Inga_multicaulis_MIND_01,12.17076709,65.40053846,250.4960769,0.01901449,0.137893038
RIBR_01,Inga_nobilis_subsp_quaternata,Inga_nobilis_subsp_quaternata_RIBR_01,14.52069153,99.57524998,134.6662552,0.248653133,0.498651314
MAPI_01,Inga_silanchensis,Inga_silanchensis_MAPI_01,10.7215474,111.2724545,127.8358182,0.030349356,0.174210666
MIND_01,Inga_silanchensis,Inga_silanchensis_MIND_01,15.49293136,60.47869231,203.5659487,0.089461564,0.29910126
MALO_02,Inga_spectabilis,Inga_spectabilis_MALO_02,13.48443908,240.5225609,111.413008,0.257872921,0.507811895
MAPI_01,Inga_spectabilis,Inga_spectabilis_MAPI_01,10.43081266,273.36625,112.115,0.006082123,0.077987967
MAPI_01,Jacaratia_chocoensis,Jacaratia_chocoensis_MAPI_01,13.22455036,142.0870171,295.2139248,0.030822951,0.175564663
MALO_01,Licania_durifolia,Licania_durifolia_MALO_01,29.48085409,173.9441239,135.9203127,0.403707222,0.635379589
MALO_02,Licania_durifolia,Licania_durifolia_MALO_02,24.57917884,181.1180278,137.5545729,0.438728126,0.662365553
MALO_02,Licania_megalophylla,Licania_megalophylla_MALO_02,19.01207043,713.6663668,147.1580717,0.164772607,0.405921922
MALO_02,Licaria_applanata,Licaria_applanata_MALO_02,28.66552115,176.6387692,61.33746154,0.139204756,0.373101536
MALO_02,Magnolia_mashpi,Magnolia_mashpi_MALO_02,31,250.4647927,118.3288358,0.403721359,0.635390714
MALO_02,Matisia_castano,Matisia_castano_MALO_02,15.47957396,138.0500769,159.1224872,0.148713571,0.385633986
CEDR_01,Meliosma_arenosa,Meliosma_arenosa_CEDR_01,12.16462287,91.08784103,44.19344615,0.289448282,0.53800398
BECL_01,Meriania_maxima,Meriania_maxima_BECL_01,17.38457843,122.2387692,143.3914615,0.04720243,0.217261202
BECL_03,Meriania_maxima,Meriania_maxima_BECL_03,19.28351463,194.5495128,114.9380509,0.262805221,0.512645317
CEDR_01,Meriania_maxima,Meriania_maxima_CEDR_01,13.47392661,141.6491859,182.6042628,0.475970138,0.689905891
INTI_01,Meriania_maxima,Meriania_maxima_INTI_01,10.1021543,219.231,141.3968077,0.096062835,0.309940051
INTI_02,Meriania_maxima,Meriania_maxima_INTI_02,9.80327838,192.7400556,144.0793056,0.006221139,0.078874197
RIBR_01,Meriania_maxima,Meriania_maxima_RIBR_01,15.29797804,264.3214667,122.0786359,0.189097174,0.434853049
CEDR_01,Meriania_tomentosa,Meriania_tomentosa_CEDR_01,9.790239705,100.649,79.9355,0.660980883,0.813007308
CEDR_03,Meriania_tomentosa,Meriania_tomentosa_CEDR_03,10.83917123,64.93942631,208.9185364,0.078147118,0.27954806
MALO_01,Miconia_1inECPI,Miconia_1inECPI_MALO_01,8.534136277,25.04353846,313.4153077,0.005152997,0.071784379
MIND_01,Miconia_1inECPI,Miconia_1inECPI_MIND_01,9.030840806,22.113,228.0061111,0.018531468,0.136130335
MALO_01,Miconia_brachycalyx,Miconia_brachycalyx_MALO_01,26.13875,129.07,143.9229662,0.642215367,0.801383408
MALO_02,Miconia_brachycalyx,Miconia_brachycalyx_MALO_02,13.97636309,157.7110605,189.1199623,0.298730117,0.546562089
MAPI_01,Miconia_brachycalyx,Miconia_brachycalyx_MAPI_01,19.2737189,181.8995609,314.437801,0.031102553,0.176359159
YANA_01,Miconia_bracteolata,Miconia_bracteolata_YANA_01,15.05585593,11.47147436,90.34524429,4.357581433,2.08748208
MAPI_02,Miconia_brevitheca,Miconia_brevitheca_MAPI_02,21.02649796,43.46753846,254.6418462,0.042896092,0.207113718
MAPI_01,Miconia_cf_gracilis,Miconia_cf_gracilis_MAPI_01,7.971858445,61.16669231,288.2454802,0.027611458,0.166166958
BECL_01,Miconia_clathrantha,Miconia_clathrantha_BECL_01,15.70081261,63.07551282,138.4002316,1.945059759,1.394653993
CEDR_01,Miconia_clathrantha,Miconia_clathrantha_CEDR_01,11.21653941,56.78051496,131.3494401,0.347581097,0.589560088
CEDR_03,Miconia_clathrantha,Miconia_clathrantha_CEDR_03,12.18300951,49.06633333,179.5469167,0.319253359,0.565025096
INTI_01,Miconia_clathrantha,Miconia_clathrantha_INTI_01,18.58812287,111.3358462,86.61969231,0.05473911,0.233963907
INTI_02,Miconia_clathrantha,Miconia_clathrantha_INTI_02,21.7120026,85.48430769,135.2438974,0.084496276,0.290682432
RIBR_01,Miconia_clathrantha,Miconia_clathrantha_RIBR_01,12.81999655,89.9348718,102.2187967,2.561715913,1.600536133
VERD_01,Miconia_corymbiformis,Miconia_corymbiformis_VERD_01,8.935440928,120.0571218,127.4427115,0.422032917,0.649640606
